1,MHB_0010001,0,1,0,1,0,0,14,0,0,1,0
1,MHB_0010002,0,1,1,1,0,0,14,0,0,1,0
1,MHB_0010003,0,1,2,1,0,0,14,0,0,1,0
1,MHB_0010004,0,1,3,1,0,0,14,0,0,1,0
1,MHB_0010005,0,1,4,1,0,0,14,0,0,1,0
1,MHB_0010006,0,1,5,1,0,0,14,0,0,1,0
1,MHB_0010007,0,1,6,1,0,0,14,0,0,1,0
1,MHB_0010008,0,1,7,1,0,0,14,0,0,1,0
1,MHB_0010009,0,1,8,1,0,0,14,0,0,1,0
1,MHB_0010010,0,1,9,1,0,0,14,0,0,1,0
1,MHB_0010011,0,1,10,1,0,0,14,0,0,1,0
1,MHB_0010012,0,1,11,1,0,0,14,0,0,1,0
1,MHB_0010013,0,1,12,1,0,0,14,0,0,1,0
1,MHB_0010014,0,1,13,1,0,0,14,0,0,1,0
1,MHB_0010015,0,1,14,1,0,0,14,0,0,1,0
1,MHB_0010016,0,1,15,1,0,0,14,0,0,1,0
1,MHB_0010017,0,1,16,1,0,0,14,0,0,1,0
1,MHB_0010018,0,1,17,1,0,0,14,0,0,1,0
1,MHB_0010019,0,1,18,1,0,0,14,0,0,1,0
1,MHB_0010020,0,1,19,1,0,0,14,0,0,1,0
1,MHB_0010021,0,1,20,1,0,0,14,0,0,1,0
1,MHB_0010022,0,1,21,1,0,0,14,0,0,1,0
1,MHB_0010023,0,1,22,1,0,0,14,0,0,1,0
1,MHB_0010024,0,1,23,1,0,0,14,0,0,1,0
1,MHB_0010025,0,1,24,1,0,0,14,0,0,1,0
1,MHB_0010026,0,1,25,1,0,0,14,0,0,1,0
1,MHB_0010027,0,1,26,1,0,0,14,0,0,1,0
1,MHB_0010028,0,1,27,1,0,0,14,0,0,1,0
1,MHB_0010029,0,1,28,1,0,0,14,0,0,1,0
1,MHB_0010030,0,1,29,1,0,0,14,0,0,1,0
1,MHB_0010031,0,1,30,1,0,0,14,0,0,1,0
1,MHB_0010032,0,1,31,1,0,0,14,0,0,1,0
1,MHB_0010033,0,1,32,1,0,0,14,0,0,1,0
1,MHB_0010034,0,1,33,1,0,0,14,0,0,1,0
1,MHB_0010035,0,1,34,1,0,0,14,0,0,1,0
1,MHB_0010036,0,1,35,1,0,0,14,0,0,1,0
1,MHB_0010037,0,1,36,1,0,0,14,0,0,1,0
1,MHB_0010038,0,1,37,1,0,0,14,0,0,1,0
1,MHB_0010039,0,1,38,1,0,0,14,0,0,1,0
1,MHB_0010040,0,1,39,1,0,0,14,0,0,1,0
1,MHB_0010041,0,1,40,1,0,0,14,0,0,1,0
1,MHB_0010042,0,1,41,1,0,0,14,0,0,1,0
1,MHB_0010043,0,1,42,1,0,0,14,0,0,1,0
1,MHB_0010044,0,1,43,1,0,0,14,0,0,1,0
1,MHB_0010045,0,1,44,1,0,0,14,0,0,1,0
1,MHB_0010046,0,1,45,1,0,0,14,0,0,1,0
1,MHB_0010047,0,1,46,1,0,0,14,0,0,1,0
1,MHB_0010048,0,1,47,1,0,0,14,0,0,1,0
1,MHB_0010049,0,1,48,1,0,0,14,0,0,1,0
1,MHB_0010050,0,1,49,1,0,0,14,0,0,1,0
1,MHB_0010051,0,1,50,1,0,0,14,0,0,1,0
1,MHB_0010052,0,1,51,1,0,0,14,0,0,1,0
1,MHB_0010053,0,1,52,1,0,0,14,0,0,1,0
1,MHB_0010054,0,1,53,1,0,0,14,0,0,1,0
1,MHB_0010055,0,1,54,1,0,0,14,0,0,1,0
1,MHB_0010056,0,1,55,1,0,0,14,0,0,1,0
1,MHB_0010057,0,1,56,1,0,0,14,0,0,1,0
1,MHB_0010058,0,1,57,1,0,0,14,0,0,1,0
1,MHB_0010059,0,1,58,1,0,0,14,0,0,1,0
1,MHB_0010060,0,1,59,1,0,0,14,0,0,1,0
1,MHB_0010061,0,1,60,1,0,0,14,0,0,1,0
1,MHB_0010062,0,1,61,1,0,0,14,0,0,1,0
1,MHB_0010063,0,1,62,1,0,0,14,0,0,1,0
1,MHB_0010064,0,1,63,1,0,0,14,0,0,1,0
1,MHB_0010065,0,1,64,1,0,0,14,0,0,1,0
1,MHB_0010066,0,1,65,1,0,0,14,0,0,1,0
1,MHB_0010067,0,1,66,1,0,0,14,0,0,1,0
1,MHB_0010068,0,1,67,1,0,0,14,0,0,1,0
1,MHB_0010069,0,1,68,1,0,0,14,0,0,1,0
1,MHB_0010070,0,1,69,1,0,0,14,0,0,1,0
1,MHB_0010071,0,1,70,1,0,0,14,0,0,1,0
1,MHB_0010072,0,1,71,1,0,0,14,0,0,1,0
1,MHB_0010073,0,1,72,1,0,0,14,0,0,1,0
1,MHB_0010074,0,1,73,1,0,0,14,0,0,1,0
1,MHB_0010075,0,1,74,1,0,0,14,0,0,1,0
1,MHB_0010076,0,1,75,1,0,0,14,0,0,1,0
1,MHB_0010077,0,1,76,1,0,0,14,0,0,1,0
1,MHB_0010078,0,1,77,1,0,0,14,0,0,1,0
1,MHB_0010079,0,1,78,1,0,0,14,0,0,1,0
1,MHB_0010080,0,1,79,1,0,0,14,0,0,1,0
1,MHB_0010081,0,1,80,1,0,0,14,0,0,1,0
1,MHB_0010082,0,1,81,1,0,0,14,0,0,1,0
1,MHB_0010083,0,1,82,1,0,0,14,0,0,1,0
1,MHB_0010084,0,1,83,1,0,0,14,0,0,1,0
1,MHB_0010085,0,1,84,1,0,0,14,0,0,1,0
1,MHB_0010086,0,1,85,1,0,0,14,0,0,1,0
1,MHB_0010087,0,1,86,1,0,0,14,0,0,1,0
1,MHB_0010088,0,1,87,1,0,0,14,0,0,1,0
1,MHB_0010089,0,1,88,1,0,0,14,0,0,1,0
1,MHB_0010090,0,1,89,1,0,0,14,0,0,1,0
1,MHB_0010091,0,1,90,1,0,0,14,0,0,1,0
1,MHB_0010092,0,1,91,1,0,0,14,0,0,1,0
1,MHB_0010093,0,1,92,1,0,0,14,0,0,1,0
1,MHB_0010094,0,1,93,1,0,0,14,0,0,1,0
1,MHB_0010095,0,1,94,1,0,0,14,0,0,1,0
1,MHB_0010096,0,1,95,1,0,0,14,0,0,1,0
1,MHB_0010097,0,1,96,1,0,0,14,0,0,1,0
1,MHB_0010098,0,1,97,1,0,0,14,0,0,1,0
1,MHB_0010099,0,1,98,1,0,0,14,0,0,1,0
1,MHB_0010100,0,1,99,1,0,0,14,0,0,1,0
1,MHB_0010101,0,1,100,1,0,0,14,0,0,1,0
1,MHB_0010102,0,1,101,1,0,0,14,0,0,1,0
1,MHB_0010103,0,1,102,1,0,0,14,0,0,1,0
1,MHB_0010104,0,1,103,1,0,0,14,0,0,1,0
1,MHB_0010105,0,1,104,1,0,0,14,0,0,1,0
1,MHB_0010106,0,1,105,1,0,0,14,0,0,1,0
1,MHB_0010107,0,1,106,1,0,0,14,0,0,1,0
1,MHB_0010108,0,1,107,1,0,0,14,0,0,1,0
1,MHB_0010109,0,1,108,1,0,0,14,0,0,1,0
1,MHB_0010110,0,1,109,1,0,0,14,0,0,1,0
1,MHB_0010111,0,1,110,1,0,0,14,0,0,1,0
1,MHB_0010112,0,1,111,1,0,0,14,0,0,1,0
1,MHB_0010113,0,1,112,1,0,0,14,0,0,1,0
1,MHB_0010114,0,1,113,1,0,0,14,0,0,1,0
1,MHB_0010115,0,1,114,1,0,0,14,0,0,1,0
1,MHB_0010116,0,1,115,1,0,0,14,0,0,1,0
1,MHB_0010117,0,1,116,1,0,0,14,0,0,1,0
1,MHB_0010118,0,1,117,1,0,0,14,0,0,1,0
1,MHB_0010119,0,1,118,1,0,0,14,0,0,1,0
1,MHB_0010120,0,1,119,1,0,0,14,0,0,1,0
1,MHB_0010121,0,1,120,1,0,0,14,0,0,1,0
1,MHB_0010122,0,1,121,1,0,0,14,0,0,1,0
1,MHB_0010123,0,1,122,1,0,0,14,0,0,1,0
1,MHB_0010124,0,1,123,1,0,0,14,0,0,1,0
1,MHB_0010125,0,1,124,1,0,0,14,0,0,1,0
1,MHB_0010126,0,1,125,1,0,0,14,0,0,1,0
1,MHB_0010127,0,1,126,1,0,0,14,0,0,1,0
1,MHB_0010128,0,1,127,1,0,0,14,0,0,1,0
1,MHB_0010129,0,1,128,1,0,0,14,0,0,1,0
1,MHB_0010130,0,1,129,1,0,0,14,0,0,1,0
1,MHB_0010131,0,1,130,1,0,0,14,0,0,1,0
1,MHB_0010132,0,1,131,1,0,0,14,0,0,1,0
1,MHB_0010133,0,1,132,1,0,0,14,0,0,1,0
1,MHB_0010134,0,1,133,1,0,0,14,0,0,1,0
1,MHB_0010135,0,1,134,1,0,0,14,0,0,1,0
1,MHB_0010136,0,1,135,1,0,0,14,0,0,1,0
1,MHB_0010137,0,1,136,1,0,0,14,0,0,1,0
1,MHB_0010138,0,1,137,1,0,0,14,0,0,1,0
1,MHB_0010139,0,1,138,1,0,0,14,0,0,1,0
1,MHB_0010140,0,1,139,1,0,0,14,0,0,1,0
1,MHB_0010141,0,1,140,1,0,0,14,0,0,1,0
1,MHB_0010142,0,1,141,1,0,0,14,0,0,1,0
1,MHB_0010143,0,1,142,1,0,0,14,0,0,1,0
1,MHB_0010144,0,1,143,1,0,0,14,0,0,1,0
1,MHB_0010145,0,1,144,1,0,0,14,0,0,1,0
1,MHB_0010146,0,1,145,1,0,0,14,0,0,1,0
1,MHB_0010147,0,1,146,1,0,0,14,0,0,1,0
1,MHB_0010148,0,1,147,1,0,0,14,0,0,1,0
1,MHB_0010149,0,1,148,1,0,0,14,0,0,1,0
1,MHB_0010150,0,1,149,1,0,0,14,0,0,1,0
1,MHB_0010151,0,1,150,1,0,0,14,0,0,1,0
1,MHB_0010152,0,1,151,1,0,0,14,0,0,1,0
1,MHB_0010153,0,1,152,1,0,0,14,0,0,1,0
1,MHB_0010154,0,1,153,1,0,0,14,0,0,1,0
1,MHB_0010155,0,1,154,1,0,0,14,0,0,1,0
1,MHB_0010156,0,1,155,1,0,0,14,0,0,1,0
1,MHB_0010157,0,1,156,1,0,0,14,0,0,1,0
1,MHB_0010158,0,1,157,1,0,0,14,0,0,1,0
1,MHB_0010159,0,1,158,1,0,0,14,0,0,1,0
1,MHB_0010160,0,1,159,1,0,0,14,0,0,1,0
1,MHB_0010161,0,1,160,1,0,0,14,0,0,1,0
1,MHB_0010162,0,1,161,1,0,0,14,0,0,1,0
1,MHB_0010163,0,1,162,1,0,0,14,0,0,1,0
1,MHB_0010164,0,1,163,1,0,0,14,0,0,1,0
1,MHB_0010165,0,1,164,1,0,0,14,0,0,1,0
1,MHB_0010166,0,1,165,1,0,0,14,0,0,1,0
1,MHB_0010167,0,1,166,1,0,0,14,0,0,1,0
1,MHB_0010168,0,1,167,1,0,0,14,0,0,1,0
1,MHB_0010169,0,1,168,1,0,0,14,0,0,1,0
1,MHB_0010170,0,1,169,1,0,0,14,0,0,1,0
1,MHB_0010171,0,1,170,1,0,0,14,0,0,1,0
1,MHB_0010172,0,1,171,1,0,0,14,0,0,1,0
1,MHB_0010173,0,1,172,1,0,0,14,0,0,1,0
1,MHB_0010174,0,1,173,1,0,0,14,0,0,1,0
1,MHB_0010175,0,1,174,1,0,0,14,0,0,1,0
1,MHB_0010176,0,1,175,1,0,0,14,0,0,1,0
1,MHB_0010177,0,1,176,1,0,0,14,0,0,1,0
1,MHB_0010178,0,1,177,1,0,0,14,0,0,1,0
1,MHB_0010179,0,1,178,1,0,0,14,0,0,1,0
1,MHB_0010180,0,1,179,1,0,0,14,0,0,1,0
1,MHB_0010181,0,1,180,1,0,0,14,0,0,1,0
1,MHB_0010182,0,1,181,1,0,0,14,0,0,1,0
1,MHB_0010183,0,1,182,1,0,0,14,0,0,1,0
1,MHB_0010184,0,1,183,1,0,0,14,0,0,1,0
1,MHB_0010185,0,1,184,1,0,0,14,0,0,1,0
1,MHB_0010186,0,1,185,1,0,0,14,0,0,1,0
1,MHB_0010187,0,1,186,1,0,0,14,0,0,1,0
1,MHB_0010188,0,1,187,1,0,0,14,0,0,1,0
1,MHB_0010189,0,1,188,1,0,0,14,0,0,1,0
1,MHB_0010190,0,1,189,1,0,0,14,0,0,1,0
1,MHB_0010191,0,1,190,1,0,0,14,0,0,1,0
1,MHB_0010192,0,1,191,1,0,0,14,0,0,1,0
1,MHB_0010193,0,1,192,1,0,0,14,0,0,1,0
1,MHB_0010194,0,1,193,1,0,0,14,0,0,1,0
1,MHB_0010195,0,1,194,1,0,0,14,0,0,1,0
1,MHB_0010196,0,1,195,1,0,0,14,0,0,1,0
1,MHB_0010197,0,1,196,1,0,0,14,0,0,1,0
1,MHB_0010198,0,1,197,1,0,0,14,0,0,1,0
1,MHB_0010199,0,1,198,1,0,0,14,0,0,1,0
1,MHB_0010200,0,1,199,1,0,0,14,0,0,1,0
1,MHB_0010201,0,1,200,1,0,0,14,0,0,1,0
1,MHB_0010202,0,1,201,1,0,0,14,0,0,1,0
1,MHB_0010203,0,1,202,1,0,0,14,0,0,1,0
1,MHB_0010204,0,1,203,1,0,0,14,0,0,1,0
1,MHB_0010205,0,1,204,1,0,0,14,0,0,1,0
1,MHB_0010206,0,1,205,1,0,0,14,0,0,1,0
1,MHB_0010207,0,1,206,1,0,0,14,0,0,1,0
1,MHB_0010208,0,1,207,1,0,0,14,0,0,1,0
1,MHB_0010209,0,1,208,1,0,0,14,0,0,1,0
1,MHB_0010210,0,1,209,1,0,0,14,0,0,1,0
1,MHB_0010211,0,1,210,1,0,0,14,0,0,1,0
1,MHB_0010212,0,1,211,1,0,0,14,0,0,1,0
1,MHB_0010213,0,1,212,1,0,0,14,0,0,1,0
1,MHB_0010214,0,1,213,1,0,0,14,0,0,1,0
1,MHB_0010215,0,1,214,1,0,0,14,0,0,1,0
1,MHB_0010216,0,1,215,1,0,0,14,0,0,1,0
1,MHB_0010217,0,1,216,1,0,0,14,0,0,1,0
1,MHB_0010218,0,1,217,1,0,0,14,0,0,1,0
1,MHB_0010219,0,1,218,1,0,0,14,0,0,1,0
1,MHB_0010220,0,1,219,1,0,0,14,0,0,1,0
1,MHB_0010221,0,1,220,1,0,0,14,0,0,1,0
1,MHB_0010222,0,1,221,1,0,0,14,0,0,1,0
1,MHB_0010223,0,1,222,1,0,0,14,0,0,1,0
1,MHB_0010224,0,1,223,1,0,0,14,0,0,1,0
1,MHB_0010225,0,1,224,1,0,0,14,0,0,1,0
1,MHB_0010226,0,1,225,1,0,0,14,0,0,1,0
1,MHB_0010227,0,1,226,1,0,0,14,0,0,1,0
1,MHB_0010228,0,1,227,1,0,0,14,0,0,1,0
1,MHB_0010229,0,1,228,1,0,0,14,0,0,1,0
1,MHB_0010230,0,1,229,1,0,0,14,0,0,1,0
1,MHB_0010231,0,1,230,1,0,0,14,0,0,1,0
1,MHB_0010232,0,1,231,1,0,0,14,0,0,1,0
1,MHB_0010233,0,1,232,1,0,0,14,0,0,1,0
1,MHB_0010234,0,1,233,1,0,0,14,0,0,1,0
1,MHB_0010235,0,1,234,1,0,0,14,0,0,1,0
1,MHB_0010236,0,1,235,1,0,0,14,0,0,1,0
1,MHB_0010237,0,1,236,1,0,0,14,0,0,1,0
1,MHB_0010238,0,1,237,1,0,0,14,0,0,1,0
1,MHB_0010239,0,1,238,1,0,0,14,0,0,1,0
1,MHB_0010240,0,1,239,1,0,0,14,0,0,1,0
1,MHB_0010241,0,1,240,1,0,0,14,0,0,1,0
1,MHB_0010242,0,1,241,1,0,0,14,0,0,1,0
1,MHB_0010243,0,1,242,1,0,0,14,0,0,1,0
1,MHB_0010244,0,1,243,1,0,0,14,0,0,1,0
1,MHB_0010245,0,1,244,1,0,0,14,0,0,1,0
1,MHB_0010246,0,1,245,1,0,0,14,0,0,1,0
1,MHB_0010247,0,1,246,1,0,0,14,0,0,1,0
1,MHB_0010248,0,1,247,1,0,0,14,0,0,1,0
1,MHB_0010249,0,1,248,1,0,0,14,0,0,1,0
1,MHB_0010250,0,1,249,1,0,0,14,0,0,1,0
1,MHB_0010251,0,1,250,1,0,0,14,0,0,1,0
1,MHB_0010252,0,1,251,1,0,0,14,0,0,1,0
1,MHB_0010253,0,1,252,1,0,0,14,0,0,1,0
1,MHB_0010254,0,1,253,1,0,0,14,0,0,1,0
1,MHB_0010255,0,1,254,1,0,0,14,0,0,1,0
1,MHB_0010256,0,1,255,1,0,0,14,0,0,1,0
